rt,mz,spectrum,intensity
1460.043,472.279629,412,364
1460.043,472.276229,415,237
1460.043,472.276229,418,186
1460.043,472.272829,419,432
1460.043,472.283029,420,389
1460.043,472.272829,426,245
1460.043,472.286429,430,618
1460.043,472.279629,432,93
1460.043,472.272829,433,423
1460.043,472.286429,433,550
1460.043,472.283029,434,508
1460.043,472.272829,435,440
1460.043,472.276229,436,550
1460.043,472.276229,437,576
1460.043,472.286429,438,694
1460.043,472.279629,439,889
1460.043,472.272829,440,1346
1460.043,472.279629,441,1363
1460.043,472.272829,442,1397
1460.043,472.279629,443,559
1460.043,472.286429,444,813
1460.043,472.286429,445,1431
1460.043,472.276229,446,1982
1460.043,472.276229,447,1092
1460.043,472.283029,448,1058
1460.043,472.272829,449,2253
1460.043,472.279629,450,1287
1460.043,472.276229,451,2998
1460.043,472.272829,452,1042
1460.043,472.286429,452,491
1460.043,472.279629,453,1643
1460.043,472.276229,454,652
1460.043,472.279629,455,1440
1460.043,472.283029,456,804
1460.043,472.276229,457,728
1460.043,472.279629,458,686
1460.043,472.279629,459,770
1460.043,472.276229,461,881
1460.587,472.279629,413,799
1460.587,472.276229,416,149
1460.587,472.279629,417,99
1460.587,472.276229,423,592
1460.587,472.276229,424,164
1460.587,472.286429,425,249
1460.587,472.279629,427,777
1460.587,472.272829,429,292
1460.587,472.279629,431,328
1460.587,472.279629,432,471
1460.587,472.283029,434,570
1460.587,472.279629,436,656
1460.587,472.279629,437,606
1460.587,472.276229,438,485
1460.587,472.286429,439,356
1460.587,472.276229,440,1134
1460.587,472.279629,441,1455
1460.587,472.276229,442,578
1460.587,472.276229,443,1620
1460.587,472.283029,444,285
1460.587,472.276229,445,635
1460.587,472.276229,446,1341
1460.587,472.276229,447,1227
1460.587,472.276229,448,949
1460.587,472.276229,449,785
1460.587,472.279629,450,856
1460.587,472.276229,451,642
1460.587,472.276229,452,884
1460.587,472.276229,453,1612
1460.587,472.279629,455,264
1460.587,472.276229,456,264
1460.587,472.272829,457,656
1460.587,472.276229,458,421
1460.587,472.272829,459,471
1460.587,472.276229,462,492
1460.587,472.286429,462,478
1460.587,472.272829,464,178
1460.587,472.272829,465,314
1460.587,472.283029,466,349
1461.129,472.276229,409,590
1461.129,472.276229,410,198
1461.129,472.279629,412,499
1461.129,472.272829,417,265
1461.129,472.269429,419,198
1461.129,472.272829,420,397
1461.129,472.283029,421,138
1461.129,472.276229,423,295
1461.129,472.272829,424,343
1461.129,472.279629,425,590
1461.129,472.279629,428,361
1461.129,472.272829,429,511
1461.129,472.283029,431,349
1461.129,472.279629,432,481
1461.129,472.276229,433,560
1461.129,472.276229,434,361
1461.129,472.283029,435,867
1461.129,472.276229,436,355
1461.129,472.279629,438,524
1461.129,472.279629,439,132
1461.129,472.276229,440,650
1461.129,472.283029,441,542
1461.129,472.283029,442,740
1461.129,472.283029,444,1361
1461.129,472.279629,445,1650
1461.129,472.276229,446,517
1461.129,472.272829,447,1313
1461.129,472.276229,448,1361
1461.129,472.279629,449,1011
1461.129,472.279629,450,1222
1461.129,472.272829,451,752
1461.129,472.279629,451,776
1461.129,472.276229,452,975
1461.129,472.283029,453,939
1461.129,472.279629,454,1288
1461.129,472.276229,455,192
1461.129,472.272829,456,1054
1461.129,472.279629,457,891
1461.129,472.279629,458,295
1461.129,472.272829,461,638
1461.129,472.269429,462,210
1461.129,472.272829,464,265
1461.129,472.279629,465,180
1461.67,472.276229,401,181
1461.67,472.276229,403,151
1461.67,472.283029,414,181
1461.67,472.279629,416,337
1461.67,472.279629,417,435
1461.67,472.279629,419,298
1461.67,472.279629,421,166
1461.67,472.279629,422,264
1461.67,472.283029,423,587
1461.67,472.279629,424,856
1461.67,472.279629,425,420
1461.67,472.276229,426,445
1461.67,472.283029,427,498
1461.67,472.276229,428,533
1461.67,472.283029,429,376
1461.67,472.279629,430,552
1461.67,472.276229,431,513
1461.67,472.279629,432,552
1461.67,472.286429,433,591
1461.67,472.266029,434,430
1461.67,472.286429,434,332
1461.67,472.276229,435,396
1461.67,472.266029,436,190
1461.67,472.276229,436,396
1461.67,472.279629,437,347
1461.67,472.276229,438,195
1461.67,472.272829,439,254
1461.67,472.286429,439,166
1461.67,472.276229,440,1022
1461.67,472.269429,441,357
1461.67,472.279629,441,401
1461.67,472.272829,442,391
1461.67,472.279629,443,640
1461.67,472.283029,444,562
1461.67,472.276229,445,782
1461.67,472.276229,446,675
1461.67,472.279629,447,1237
1461.67,472.279629,448,826
1461.67,472.276229,449,1037
1461.67,472.272829,450,538
1461.67,472.286429,450,386
1461.67,472.279629,451,826
1461.67,472.276229,452,337
1461.67,472.283029,453,313
1461.67,472.276229,454,665
1461.67,472.276229,455,440
1461.67,472.276229,456,244
1461.67,472.272829,458,195
1461.67,472.276229,459,215
1461.67,472.276229,460,410
1461.67,472.276229,461,166
1461.67,472.286429,461,264
1461.67,472.279629,462,528
1461.67,472.276229,465,97
1462.211,472.279629,401,135
1462.211,472.286429,403,109
1462.211,472.272829,405,256
1462.211,472.283029,407,109
1462.211,472.272829,411,67
1462.211,472.272829,413,234
1462.211,472.276229,414,218
1462.211,472.276229,415,109
1462.211,472.272829,416,75
1462.211,472.286429,416,37
1462.211,472.283029,417,400
1462.211,472.279629,418,203
1462.211,472.276229,419,90
1462.211,472.279629,420,211
1462.211,472.283029,421,362
1462.211,472.276229,422,615
1462.211,472.272829,423,622
1462.211,472.279629,424,354
1462.211,472.283029,425,566
1462.211,472.279629,426,434
1462.211,472.283029,427,1000
1462.211,472.272829,428,577
1462.211,472.276229,429,845
1462.211,472.266029,430,249
1462.211,472.283029,430,702
1462.211,472.276229,431,562
1462.211,472.279629,432,453
1462.211,472.279629,433,226
1462.211,472.276229,434,422
1462.211,472.279629,435,336
1462.211,472.279629,436,800
1462.211,472.276229,437,234
1462.211,472.276229,438,645
1462.211,472.276229,439,468
1462.211,472.279629,440,445
1462.211,472.279629,441,419
1462.211,472.279629,442,826
1462.211,472.276229,443,415
1462.211,472.279629,444,758
1462.211,472.272829,445,558
1462.211,472.272829,446,668
1462.211,472.279629,447,694
1462.211,472.276229,448,902
1462.211,472.272829,449,332
1462.211,472.283029,449,290
1462.211,472.272829,450,377
1462.211,472.283029,450,320
1462.211,472.276229,451,645
1462.211,472.279629,452,638
1462.211,472.276229,453,264
1462.211,472.279629,454,490
1462.211,472.283029,455,487
1462.211,472.279629,456,324
1462.211,472.286429,457,317
1462.211,472.276229,458,437
1462.211,472.272829,460,147
1462.211,472.279629,461,218
1462.211,472.279629,462,120
1462.211,472.276229,463,207
1462.211,472.276229,465,200
1462.211,472.272829,467,222
1462.753,472.276229,401,188
1462.753,472.272829,402,30
1462.753,472.279629,403,115
1462.753,472.279629,404,87
1462.753,472.283029,405,115
1462.753,472.276229,406,143
1462.753,472.276229,410,332
1462.753,472.276229,411,194
1462.753,472.276229,412,157
1462.753,472.276229,413,388
1462.753,472.276229,414,312
1462.753,472.279629,415,323
1462.753,472.269429,416,202
1462.753,472.283029,417,354
1462.753,472.276229,418,706
1462.753,472.279629,419,306
1462.753,472.279629,420,630
1462.753,472.276229,421,774
1462.753,472.276229,422,718
1462.753,472.283029,423,794
1462.753,472.272829,424,985
1462.753,472.279629,425,1103
1462.753,472.279629,426,1191
1462.753,472.279629,427,1196
1462.753,472.279629,428,1157
1462.753,472.276229,429,861
1462.753,472.276229,430,501
1462.753,472.279629,431,1005
1462.753,472.276229,432,878
1462.753,472.272829,433,965
1462.753,472.279629,434,422
1462.753,472.283029,435,416
1462.753,472.272829,436,461
1462.753,472.279629,437,1044
1462.753,472.276229,438,346
1462.753,472.276229,439,343
1462.753,472.276229,440,695
1462.753,472.279629,441,616
1462.753,472.272829,442,487
1462.753,472.279629,443,380
1462.753,472.276229,444,366
1462.753,472.279629,445,495
1462.753,472.283029,446,335
1462.753,472.272829,447,743
1462.753,472.279629,448,290
1462.753,472.276229,449,898
1462.753,472.279629,450,568
1462.753,472.276229,451,326
1462.753,472.279629,452,298
1462.753,472.272829,453,174
1462.753,472.276229,454,270
1462.753,472.286429,455,185
1462.753,472.276229,456,214
1462.753,472.279629,457,309
1462.753,472.272829,458,242
1462.753,472.279629,459,222
1462.753,472.283029,461,81
1462.753,472.276229,464,33
1462.753,472.269429,465,56
1462.753,472.279629,467,191
1463.292,472.283029,401,164
1463.292,472.276229,402,154
1463.292,472.272829,403,394
1463.292,472.276229,404,220
1463.292,472.272829,405,150
1463.292,472.276229,406,36
1463.292,472.276229,408,576
1463.292,472.276229,409,330
1463.292,472.279629,410,210
1463.292,472.279629,411,270
1463.292,472.276229,412,328
1463.292,472.276229,413,578
1463.292,472.279629,414,537
1463.292,472.276229,415,661
1463.292,472.279629,416,601
1463.292,472.276229,417,860
1463.292,472.279629,418,612
1463.292,472.279629,419,614
1463.292,472.276229,420,1125
1463.292,472.276229,421,842
1463.292,472.272829,422,1449
1463.292,472.276229,423,1734
1463.292,472.279629,424,852
1463.292,472.276229,425,1026
1463.292,472.276229,426,1720
1463.292,472.276229,427,985
1463.292,472.276229,428,1140
1463.292,472.279629,429,717
1463.292,472.279629,430,1154
1463.292,472.279629,431,1235
1463.292,472.276229,432,1266
1463.292,472.276229,433,1179
1463.292,472.279629,434,1212
1463.292,472.279629,435,1386
1463.292,472.272829,436,788
1463.292,472.276229,437,537
1463.292,472.279629,438,508
1463.292,472.279629,439,661
1463.292,472.272829,440,616
1463.292,472.279629,441,317
1463.292,472.276229,442,421
1463.292,472.279629,443,369
1463.292,472.272829,444,187
1463.292,472.283029,445,266
1463.292,472.276229,446,405
1463.292,472.279629,447,450
1463.292,472.279629,448,218
1463.292,472.283029,449,129
1463.292,472.283029,450,177
1463.292,472.272829,451,429
1463.292,472.283029,452,38
1463.292,472.279629,453,436
1463.292,472.276229,455,208
1463.292,472.272829,456,456
1463.292,472.279629,457,156
1463.292,472.276229,458,135
1463.292,472.276229,459,17
1463.292,472.279629,460,166
1463.292,472.283029,462,75
1463.292,472.272829,463,112
1463.292,472.279629,467,34
1463.831,472.276229,401,401
1463.831,472.276229,402,456
1463.831,472.276229,403,536
1463.831,472.279629,404,466
1463.831,472.276229,405,195
1463.831,472.279629,406,276
1463.831,472.272829,407,479
1463.831,472.276229,408,508
1463.831,472.279629,409,1008
1463.831,472.276229,410,793
1463.831,472.279629,411,741
1463.831,472.272829,412,793
1463.831,472.276229,413,460
1463.831,472.279629,414,1326
1463.831,472.276229,415,969
1463.831,472.276229,416,1268
1463.831,472.276229,417,1504
1463.831,472.276229,418,1311
1463.831,472.279629,419,1060
1463.831,472.276229,420,1437
1463.831,472.276229,421,1313
1463.831,472.279629,422,1383
1463.831,472.279629,423,1257
1463.831,472.276229,424,1632
1463.831,472.276229,425,2000
1463.831,472.276229,426,1690
1463.831,472.276229,427,1209
1463.831,472.276229,428,1276
1463.831,472.272829,429,1276
1463.831,472.279629,430,950
1463.831,472.276229,431,1532
1463.831,472.279629,432,1513
1463.831,472.276229,433,1105
1463.831,472.279629,434,791
1463.831,472.279629,435,770
1463.831,472.276229,436,781
1463.831,472.276229,437,1017
1463.831,472.279629,438,611
1463.831,472.279629,439,683
1463.831,472.276229,440,497
1463.831,472.279629,441,495
1463.831,472.276229,442,512
1463.831,472.272829,443,232
1463.831,472.283029,443,189
