rt,mz,spectrum,intensity
1454.108,488.298043,438,671
1454.108,488.298043,439,1059
1454.108,488.298043,440,2127
1454.108,488.298043,441,1972
1454.108,488.298043,442,3014
1454.108,488.304958,443,3212
1454.108,488.298043,444,2523
1454.108,488.298043,445,3746
1454.108,488.301501,446,2833
1454.108,488.301501,447,5270
1454.108,488.301501,448,4116
1454.108,488.298043,449,2686
1454.108,488.301501,450,3324
1454.108,488.294586,451,5166
1454.108,488.298043,452,3169
1454.108,488.301501,453,2815
1454.108,488.301501,454,2058
1454.108,488.304958,455,3169
1454.108,488.301501,456,1515
1454.108,488.301501,457,2678
1454.108,488.304958,458,2342
1454.108,488.298043,463,413
1454.108,488.301501,464,421
1454.108,488.301501,465,94
1454.649,488.304958,436,1396
1454.649,488.298043,437,920
1454.649,488.301501,439,3237
1454.649,488.298043,440,1345
1454.649,488.304958,441,1972
1454.649,488.301501,442,3844
1454.649,488.301501,443,3793
1454.649,488.298043,444,3389
1454.649,488.304958,444,3399
1454.649,488.301501,445,3925
1454.649,488.304958,446,3793
1454.649,488.298043,448,4259
1454.649,488.304958,449,3591
1454.649,488.298043,450,2731
1454.649,488.301501,453,4623
1454.649,488.301501,454,4522
1454.649,488.298043,455,3328
1454.649,488.304958,456,3692
1454.649,488.298043,459,2306
1454.649,488.304958,461,1598
1454.649,488.298043,464,870
1454.649,488.304958,466,586
1454.649,488.301501,468,485
1455.189,488.304958,437,1076
1455.189,488.301501,438,2702
1455.189,488.301501,439,1202
1455.189,488.301501,440,1580
1455.189,488.301501,442,3561
1455.189,488.298043,443,2015
1455.189,488.304958,443,2152
1455.189,488.301501,444,4087
1455.189,488.301501,445,3755
1455.189,488.301501,446,4946
1455.189,488.304958,447,6126
1455.189,488.301501,448,4442
1455.189,488.301501,449,5977
1455.189,488.298043,450,4190
1455.189,488.301501,451,3389
1455.189,488.301501,452,3469
1455.189,488.298043,453,2645
1455.189,488.301501,455,4603
1455.189,488.301501,456,5805
1455.189,488.301501,458,1625
1455.189,488.301501,459,4339
1455.189,488.304958,460,1339
1455.189,488.304958,463,1465
1455.189,488.298043,465,824
1455.189,488.298043,467,354
1455.189,488.304958,468,549
1455.73,488.298043,437,1283
1455.73,488.304958,439,1740
1455.73,488.298043,441,4879
1455.73,488.301501,442,2871
1455.73,488.301501,443,4295
1455.73,488.301501,444,1766
1455.73,488.298043,445,5044
1455.73,488.298043,446,5781
1455.73,488.301501,447,3977
1455.73,488.298043,448,5731
1455.73,488.301501,449,4498
1455.73,488.301501,450,7421
1455.73,488.298043,451,4981
1455.73,488.301501,452,4142
1455.73,488.301501,453,4295
1455.73,488.301501,454,4689
1455.73,488.301501,455,2909
1455.73,488.301501,456,5184
1455.73,488.304958,457,3278
1455.73,488.298043,458,1461
1455.73,488.301501,460,2897
1455.73,488.301501,461,1702
1455.73,488.298043,462,1194
1455.73,488.304958,462,1181
1455.73,488.298043,463,1092
1455.73,488.301501,465,635
1456.27,488.294586,435,1778
1456.27,488.308415,437,555
1456.27,488.298043,438,1986
1456.27,488.298043,440,2153
1456.27,488.301501,441,3042
1456.27,488.301501,442,1764
1456.27,488.298043,444,7266
1456.27,488.298043,446,6224
1456.27,488.301501,447,2653
1456.27,488.294586,448,2473
1456.27,488.304958,448,2736
1456.27,488.298043,450,6113
1456.27,488.301501,451,3542
1456.27,488.298043,452,4251
1456.27,488.301501,453,3320
1456.27,488.301501,454,6140
1456.27,488.308415,455,2445
1456.27,488.304958,456,2973
1456.27,488.298043,458,5307
1456.27,488.308415,462,333
1456.27,488.294586,467,416
1456.808,488.294586,436,631
1456.808,488.304958,436,557
1456.808,488.301501,437,2142
1456.808,488.298043,438,337
1456.808,488.298043,439,1100
1456.808,488.301501,440,3522
1456.808,488.301501,441,3507
1456.808,488.294586,442,865
1456.808,488.301501,443,3126
1456.808,488.298043,444,4109
1456.808,488.301501,445,3463
1456.808,488.304958,446,1863
1456.808,488.301501,447,3463
1456.808,488.301501,448,5283
1456.808,488.301501,449,5488
1456.808,488.301501,450,7484
1456.808,488.298043,451,4549
1456.808,488.301501,453,6075
